Planet,mass,radius,density,g,ve,a,Tsurf,Teq,ESIi,ESIs,ESIg
931.01,176.356,8.6,0.28,2.38,4.53,0.05,978,948,0.407,0.078,0.178
680.01,131.021,7.6,0.3,2.27,4.15,0.09,1019,989,0.434,0.073,0.178
GJ 179b,260.622,10.12,0.25,2.55,5.08,2.41,89,59,0.375,0.084,0.177
1306.01,5.951,2.1,0.64,1.35,1.68,0.03,1461,1431,0.773,0.041,0.177
254.01,476.155,13,0.22,2.82,6.05,0.03,854,824,0.329,0.095,0.177
554.01,77.235,6.1,0.34,2.08,3.56,0.05,1098,1068,0.483,0.065,0.177
941.02,18.949,3.4,0.48,1.64,2.36,0.04,1299,1269,0.633,0.049,0.177
1557.01,52.621,5.2,0.37,1.95,3.18,0.04,1153,1123,0.522,0.06,0.177
1376.01,11.882,2.8,0.54,1.52,2.06,0.09,1367,1337,0.688,0.045,0.177
368.01,959.598,17.4,0.18,3.17,7.43,0.54,772,742,0.281,0.11,0.176
WASP-10b,972.565,12.12,0.55,6.62,8.96,0.04,977,947,0.483,0.064,0.175
755.01,11.882,2.8,0.54,1.52,2.06,0.04,1380,1350,0.688,0.044,0.175
728.01,247.374,9.9,0.25,2.52,5,0.07,952,922,0.379,0.08,0.174
257.01,28.006,4,0.44,1.75,2.65,0.07,1260,1230,0.589,0.051,0.174
1549.01,4404.81,32.8,0.12,4.09,11.59,0.19,609,579,0.198,0.153,0.174
168.02,10.408,1.9,1.52,2.88,2.34,0.06,1457,1427,0.794,0.038,0.174
94.01,441.694,12.6,0.22,2.78,5.92,0.17,881,851,0.334,0.09,0.173
665.02,1.945,1.2,1.13,1.35,1.27,0.03,1666,1636,0.942,0.032,0.173
85.01,16.38,3.2,0.5,1.6,2.26,0.07,1348,1318,0.65,0.046,0.173
1300.01,6.935,1.7,1.41,2.4,2.02,0.01,1515,1485,0.83,0.036,0.173
1367.01,1.945,1.2,1.13,1.35,1.27,0.01,1669,1639,0.942,0.032,0.172
4.01,28.006,4,0.44,1.75,2.65,0.05,1272,1242,0.589,0.05,0.172
1428.01,10.408,1.9,1.52,2.88,2.34,0.02,1469,1439,0.794,0.037,0.172
805.01,608.871,14.4,0.2,2.94,6.5,0.09,850,820,0.311,0.094,0.171
1177.01,241.41,9.8,0.26,2.51,4.96,0.04,975,945,0.381,0.076,0.171
CoRoT-6b,940.782,13.08,0.42,5.5,8.48,0.09,960,930,0.431,0.067,0.17
12.01,441.694,12.6,0.22,2.78,5.92,0.14,898,868,0.334,0.086,0.17
573.02,5.951,2.1,0.64,1.35,1.68,0.03,1521,1491,0.773,0.037,0.169
7.01,23.22,3.7,0.46,1.7,2.51,0.04,1320,1290,0.61,0.047,0.169
217.01,278.478,10.4,0.25,2.57,5.18,0.05,965,935,0.369,0.077,0.169
1050.01,7.405,2.3,0.61,1.4,1.79,0.02,1492,1462,0.746,0.038,0.169
1053.01,10.408,1.9,1.52,2.88,2.34,0.02,1496,1466,0.794,0.036,0.168
1387.01,3875.84,31.1,0.13,4.01,11.17,0.17,645,615,0.204,0.139,0.168
625.01,682.463,15.1,0.2,2.99,6.73,0.24,858,828,0.303,0.091,0.167
304.01,47.887,5,0.38,1.92,3.1,0.09,1229,1199,0.531,0.052,0.167
929.01,196.722,9,0.27,2.43,4.68,0.07,1028,998,0.398,0.069,0.166
688.01,9.049,2.5,0.58,1.45,1.9,0.04,1495,1465,0.721,0.038,0.164
760.01,235.531,9.7,0.26,2.5,4.93,0.06,1012,982,0.383,0.071,0.164
506.01,9.049,2.5,0.58,1.45,1.9,0.03,1498,1468,0.721,0.037,0.164
292.01,12.55,2,1.57,3.14,2.51,0.04,1508,1478,0.778,0.034,0.164
CoRoT-7b,4.799,1.68,1.01,1.69,1.69,0.02,1685,1655,0.917,0.029,0.163
201.01,139.463,7.8,0.29,2.29,4.23,0.05,1094,1064,0.428,0.062,0.163
517.01,21.74,3.6,0.47,1.68,2.46,0.04,1373,1343,0.617,0.043,0.163
838.01,139.463,7.8,0.29,2.29,4.23,0.06,1096,1066,0.428,0.062,0.163
732.01,12.928,2.9,0.53,1.54,2.11,0.02,1454,1424,0.678,0.039,0.163
HD 46375b,79.14,6.16,0.34,2.08,3.58,0.04,1181,1151,0.481,0.055,0.162
961.03,298.181,10.7,0.24,2.6,5.28,0.03,994,964,0.364,0.072,0.162
674.01,339.968,11.3,0.24,2.66,5.49,0.14,989,959,0.354,0.072,0.159
1227.01,161.928,8.3,0.28,2.35,4.42,0.03,1096,1066,0.415,0.061,0.159
190.01,820.186,16.3,0.19,3.09,7.1,0.11,873,843,0.291,0.087,0.159
843.01,83.463,6.3,0.33,2.1,3.64,0.05,1199,1169,0.476,0.053,0.159
HD 81688b,858.146,16.61,0.19,3.11,7.19,0.81,870,840,0.288,0.087,0.158
42 Drab,1233.187,19.31,0.17,3.31,7.99,1.19,827,797,0.266,0.094,0.158
1176.01,325.683,11.1,0.24,2.64,5.42,0.03,1004,974,0.357,0.07,0.158
HD 195019b,1175.978,18.94,0.17,3.28,7.88,0.14,835,805,0.269,0.092,0.157
14 Andb,1525.593,21.1,0.16,3.43,8.51,0.83,803,773,0.253,0.098,0.157
204.01,143.799,7.9,0.29,2.3,4.27,0.04,1128,1098,0.425,0.058,0.157
1013.01,5.559,1.6,1.36,2.17,1.86,0.01,1671,1641,0.849,0.029,0.157
206.01,148.214,8,0.29,2.32,4.31,0.06,1132,1102,0.422,0.057,0.156
229.01,74.226,6,0.34,2.06,3.52,0.05,1237,1207,0.487,0.05,0.156
HD 32518b,966.209,17.45,0.18,3.17,7.44,0.59,871,841,0.281,0.086,0.155
105.01,152.707,8.1,0.29,2.33,4.34,0.09,1130,1100,0.42,0.057,0.155
496.01,10.888,2.7,0.55,1.49,2.01,0.03,1544,1514,0.699,0.034,0.155
HD 217107b,422.716,12.37,0.22,2.76,5.85,0.07,998,968,0.337,0.069,0.153
HD 162020b,4370.187,32.69,0.13,4.09,11.57,0.07,701,671,0.198,0.116,0.152
144.01,93.338,6.6,0.32,2.14,3.76,0.05,1228,1198,0.465,0.05,0.152
72.01,2.605,1.3,1.19,1.54,1.42,0.02,1820,1790,0.916,0.025,0.152
984.01,35.218,4.4,0.41,1.82,2.83,0.05,1388,1358,0.564,0.04,0.151
425.01,493.955,13.2,0.21,2.83,6.12,0.06,997,967,0.326,0.068,0.149
161.01,55.087,5.3,0.37,1.96,3.23,0.04,1336,1306,0.517,0.043,0.149
403.01,6970.22,39.7,0.11,4.42,13.25,0.15,667,637,0.178,0.123,0.148
HD 38529b,247.909,9.91,0.25,2.52,5,0.13,1114,1084,0.379,0.057,0.147
685.01,11.882,2.8,0.54,1.52,2.06,0.04,1600,1570,0.688,0.031,0.147
HD 76700b,62.613,5.59,0.36,2,3.35,0.05,1332,1302,0.504,0.043,0.146
HD 219828b,20.977,3.55,0.47,1.67,2.43,0.05,1516,1486,0.621,0.034,0.146
410.01,425.028,12.4,0.22,2.76,5.86,0.08,1039,1009,0.337,0.063,0.146
127.01,235.531,9.7,0.26,2.5,4.93,0.05,1128,1098,0.383,0.056,0.146
HAT-P-3b,190.381,9.99,0.19,1.91,4.37,0.04,1082,1052,0.333,0.063,0.145
1169.01,1.945,1.2,1.13,1.35,1.27,0.01,1925,1895,0.942,0.022,0.145
412.01,118.931,7.3,0.31,2.23,4.04,0.05,1241,1211,0.442,0.048,0.145
976.01,2883.59,27.5,0.14,3.81,10.24,0.34,787,757,0.219,0.096,0.145
774.01,761.004,15.8,0.19,3.05,6.94,0.08,969,939,0.296,0.07,0.144
1546.01,68.417,5.8,0.35,2.03,3.44,0.02,1339,1309,0.495,0.042,0.144
HD 83443b,127.133,7.51,0.3,2.26,4.12,0.04,1247,1217,0.436,0.047,0.143
191.03,3.414,1.4,1.24,1.74,1.56,0.02,1869,1839,0.892,0.023,0.143
18.01,157.278,8.2,0.29,2.34,4.38,0.04,1210,1180,0.417,0.049,0.143
183.01,247.374,9.9,0.25,2.52,5,0.04,1143,1113,0.379,0.054,0.143
644.01,5255.48,35.3,0.12,4.22,12.21,0.27,728,698,0.19,0.106,0.142
611.01,118.931,7.3,0.31,2.23,4.04,0.04,1265,1235,0.442,0.045,0.142
11 UMib,3337.234,29.22,0.13,3.91,10.69,1.54,787,757,0.211,0.095,0.141
840.01,298.181,10.7,0.24,2.6,5.28,0.04,1128,1098,0.364,0.054,0.141
OGLE-TR-111b,171.629,12.09,0.1,1.18,3.77,0.05,965,935,0.231,0.084,0.14
Kepler-4b,24.473,4.01,0.38,1.52,2.47,0.05,1505,1475,0.558,0.035,0.139
258.01,37.172,4.5,0.41,1.84,2.88,0.05,1479,1449,0.558,0.035,0.139
HAT-P-12b,67.063,10.76,0.05,0.58,2.5,0.04,906,876,0.177,0.108,0.138
131.01,196.722,9,0.27,2.43,4.68,0.06,1211,1181,0.398,0.048,0.138
1150.01,0.312,0.7,0.91,0.64,0.67,0.01,1970,1940,0.921,0.02,0.137
HIP 14810b,1233.187,19.31,0.17,3.31,7.99,0.07,950,920,0.266,0.07,0.136
1241.01,278.478,10.4,0.25,2.57,5.18,0.17,1172,1142,0.369,0.05,0.136
85.02,6.935,1.7,1.41,2.4,2.02,0.04,1853,1823,0.83,0.022,0.136
199.01,181.326,8.7,0.28,2.4,4.57,0.04,1246,1216,0.405,0.045,0.136
208.01,171.467,8.5,0.28,2.37,4.49,0.04,1259,1229,0.41,0.045,0.135
17.01,218.398,9.4,0.26,2.47,4.82,0.04,1222,1192,0.389,0.047,0.135
51 Pegb,148.745,8.01,0.29,2.32,4.31,0.05,1289,1259,0.422,0.043,0.134
HD 102272b,1875.207,22.99,0.15,3.55,9.03,0.61,908,878,0.241,0.074,0.134
135.01,161.928,8.3,0.28,2.35,4.42,0.04,1280,1250,0.415,0.043,0.134
799.01,37.172,4.5,0.41,1.84,2.88,0.03,1541,1511,0.558,0.032,0.133
895.01,458.735,12.8,0.22,2.8,5.99,0.05,1123,1093,0.331,0.053,0.133
HD 68988b,603.88,14.35,0.2,2.93,6.49,0.07,1083,1053,0.312,0.056,0.132
908.01,347.245,11.4,0.23,2.67,5.52,0.06,1170,1140,0.352,0.05,0.132
